"","Idimpianto","Gestore","Bandiera","Tipo.Impianto","Nome.Impianto","Indirizzo","Comune","Provincia","Latitudine","Longitudine"
"134",8989,NA,"Q8",NA,"Q8 di Calzona Simone","Via borzoli 13r ","GENOVA","GE",44.4300378,8.8595982
"135",9511,NA,"Q8",NA,"Q8","CORSO EUROPA 1500, 16166 ","GENOVA","GE",44.3874127,9.0170138
"136",9801,NA,"AgipEni",NA,"CASTELLI SANDROE ROMANO SNC","statale 1 Via Aurelia, Km. 550, dir. ponente ","GENOVA","GE",44.4251121,8.8226529
"137",10949,NA,"Api-Ip",NA,"stazione di rifornimento API - IP","CORSO EUROPA 1773, 16132 ","GENOVA","GE",44.3851865,9.0227882
"138",12637,NA,"Api-Ip",NA,"IP di Piperissa Simone","CORSO SARDEGNA 261r 16143 ","GENOVA","GE",44.4116293263,8.9552025497
"139",13180,NA,"Api-Ip",NA,"IP","via Cecchi 54a/r, Genova ","GENOVA","GE",44.3980886695,8.9475037796
"140",13814,NA,"AgipEni",NA,"impianto eni cod 01038","VIA CANEVARI 1R 16137 ","GENOVA","GE",44.4074453125,8.949703056
"141",15342,NA,"Esso",NA,"Staz di Serv. Esso di Santoro L.","VIA RONCHI 38R, 16156 ","GENOVA","GE",44.4251305123,8.8253219426
"142",16444,NA,"Api-Ip",NA,"rapetti roberto","CORSO EUROPA 1624, 16132 ","GENOVA","GE",44.40298,8.9834887
"143",17224,NA,"AgipEni",NA,"stazione di servizio eni di mancini alessandro","PIAZZA M. CONTI 25 R, 16152 ","GENOVA","GE",44.4155379,8.8681645
"144",17298,NA,"AgipEni",NA,"DELLE PIANE E CAU S.n.c.","Via Struppa, 113/a ","GENOVA","GE",44.4494072426,9.0203737379
"145",17780,NA,"Api-Ip",NA,"Oronero","Corso m.quadrio 12r ","GENOVA","GE",44.4053575,8.928538
"146",20293,NA,"AgipEni",NA,"PARISI ELIO","VIA ORSINI 14 R, 16146 ","GENOVA","GE",44.3992165,8.9752483
"147",23605,NA,"TotalErg",NA,"Serra Riccò","VIA SAN QUIRICO 1A, 16163 ","GENOVA","GE",44.4702987,8.9040186
